EDC3_gas_a (yr),CO2 (ppmv),source
9807,263.4,Dome C (Monnin et al. 2001) measured at University of Bern
9909,265.7,Dome C (Monnin et al. 2001) measured at University of Bern
9983,264.9,Dome C (Monnin et al. 2001) measured at University of Bern
10088,267.5,Dome C (Monnin et al. 2001) measured at University of Bern
10209,266.9,Dome C (Monnin et al. 2001) measured at University of Bern
10294,266,Dome C (Monnin et al. 2001) measured at University of Bern
10417,265.1,Dome C (Monnin et al. 2001) measured at University of Bern
10527,267.6,Dome C (Monnin et al. 2001) measured at University of Bern
10621,264.8,Dome C (Monnin et al. 2001) measured at University of Bern
10744,264.8,Dome C (Monnin et al. 2001) measured at University of Bern
10805,265,Dome C (Monnin et al. 2001) measured at University of Bern
10827,265.3,Dome C (Monnin et al. 2001) measured at University of Bern
10895,264.4,Dome C (Monnin et al. 2001) measured at University of Bern
10933,264.1,Dome C (Monnin et al. 2001) measured at University of Bern
11014,264.2,Dome C (Monnin et al. 2001) measured at University of Bern
11087,264.5,Dome C (Monnin et al. 2001) measured at University of Bern
11136,264,Dome C (Monnin et al. 2001) measured at University of Bern
11201,263,Dome C (Monnin et al. 2001) measured at University of Bern
11236,265.2,Dome C (Monnin et al. 2001) measured at University of Bern
11278,258.8,Dome C (Monnin et al. 2001) measured at University of Bern
11338,260.8,Dome C (Monnin et al. 2001) measured at University of Bern
11392,255.4,Dome C (Monnin et al. 2001) measured at University of Bern
11436,253.9,Dome C (Monnin et al. 2001) measured at University of Bern
11469,253.8,Dome C (Monnin et al. 2001) measured at University of Bern
11580,250.7,Dome C (Monnin et al. 2001) measured at University of Bern
11635,249.7,Dome C (Monnin et al. 2001) measured at University of Bern
11676,251.1,Dome C (Monnin et al. 2001) measured at University of Bern
11727,250.7,Dome C (Monnin et al. 2001) measured at University of Bern
11819,245.3,Dome C (Monnin et al. 2001) measured at University of Bern
11896,245.3,Dome C (Monnin et al. 2001) measured at University of Bern
11958,246.6,Dome C (Monnin et al. 2001) measured at University of Bern
12050,243.2,Dome C (Monnin et al. 2001) measured at University of Bern
12122,240.3,Dome C (Monnin et al. 2001) measured at University of Bern
12371,237.5,Dome C (Monnin et al. 2001) measured at University of Bern
12496,237.6,Dome C (Monnin et al. 2001) measured at University of Bern
12642,234.2,Dome C (Monnin et al. 2001) measured at University of Bern
12760,238.3,Dome C (Monnin et al. 2001) measured at University of Bern
12942,237.3,Dome C (Monnin et al. 2001) measured at University of Bern
13090,237.9,Dome C (Monnin et al. 2001) measured at University of Bern
13241,237.6,Dome C (Monnin et al. 2001) measured at University of Bern
13440,236.4,Dome C (Monnin et al. 2001) measured at University of Bern
13542,239.2,Dome C (Monnin et al. 2001) measured at University of Bern
13653,238.6,Dome C (Monnin et al. 2001) measured at University of Bern
13804,238.6,Dome C (Monnin et al. 2001) measured at University of Bern
13948,239.1,Dome C (Monnin et al. 2001) measured at University of Bern
14303,228.5,Dome C (Monnin et al. 2001) measured at University of Bern
14550,228.4,Dome C (Monnin et al. 2001) measured at University of Bern
14725,226.1,Dome C (Monnin et al. 2001) measured at University of Bern
14890,225.2,Dome C (Monnin et al. 2001) measured at University of Bern
15012,224.5,Dome C (Monnin et al. 2001) measured at University of Bern
15233,222,Dome C (Monnin et al. 2001) measured at University of Bern
15438,221,Dome C (Monnin et al. 2001) measured at University of Bern
15570,220.9,Dome C (Monnin et al. 2001) measured at University of Bern
15742,219.4,Dome C (Monnin et al. 2001) measured at University of Bern
15886,214,Dome C (Monnin et al. 2001) measured at University of Bern
16073,207.5,Dome C (Monnin et al. 2001) measured at University of Bern
16260,207.7,Dome C (Monnin et al. 2001) measured at University of Bern
16452,202.9,Dome C (Monnin et al. 2001) measured at University of Bern
16659,200.8,Dome C (Monnin et al. 2001) measured at University of Bern
16870,195.2,Dome C (Monnin et al. 2001) measured at University of Bern
17111,193.9,Dome C (Monnin et al. 2001) measured at University of Bern
17375,191,Dome C (Monnin et al. 2001) measured at University of Bern
17565,188.5,Dome C (Monnin et al. 2001) measured at University of Bern
17809,188.5,Dome C (Monnin et al. 2001) measured at University of Bern
17943,189.2,Dome C (Monnin et al. 2001) measured at University of Bern
18285,187,Dome C (Monnin et al. 2001) measured at University of Bern
18541,188.6,Dome C (Monnin et al. 2001) measured at University of Bern
18828,189.4,Dome C (Monnin et al. 2001) measured at University of Bern
18868,192.3,Dome C (Monnin et al. 2001) measured at University of Bern
18921,188.3,Dome C (Monnin et al. 2001) measured at University of Bern
19347,188.7,Dome C (Monnin et al. 2001) measured at University of Bern
19509,188.8,Dome C (Monnin et al. 2001) measured at University of Bern
19748,190,Dome C (Monnin et al. 2001) measured at University of Bern
19988,188,Dome C (Monnin et al. 2001) measured at University of Bern
20168,188.2,Dome C (Monnin et al. 2001) measured at University of Bern
20197,195,Dome C (Monnin et al. 2001) measured at University of Bern
20502,187.8,Dome C (Monnin et al. 2001) measured at University of Bern
20748,186.9,Dome C (Monnin et al. 2001) measured at University of Bern
21011,186.5,Dome C (Monnin et al. 2001) measured at University of Bern
21257,184.7,Dome C (Monnin et al. 2001) measured at University of Bern
21507,186.1,Dome C (Monnin et al. 2001) measured at University of Bern
21854,185.7,Dome C (Monnin et al. 2001) measured at University of Bern
22015,184.4,Dome C (Monnin et al. 2001) measured at University of Bern
22827,189.2,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
25994,191.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
29063,188.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
30020,191.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
35009,205.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
37471,209.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
43500,209.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
47336,189.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
48854,188.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
49690,210.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
50663,215.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
52382,190.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
57088,221.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
57657,210.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
62859,195.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
64939,191.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
65939,194.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
71049,227.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
73227,229.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
77150,217.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
78183,221.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
