,EDC3_gas_a (yr),CO2 (ppmv),source,bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,modern_co2_Date,modern_co2_Decimal_Date,modern_co2_Average,modern_co2_Interpolated,modern_co2_Trend,modern_co2_Number_of_Days,Source,Year,Mean,ch4_year,ch4_month,ch4_decimal_date,ch4_average,ch4_average_unc,ch4_trend,ch4_trend_unc
244,126886,262.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,245,134.2,3605.297,3645.753333,-389.9,218.4,3.018,1978-07-01,1978.542,336.41,336.41,335.57,22.0,GCAG,1894.0,-0.2808,2003.0,11.0,2003.875,1785.3,0.99,1779.28,0.49
245,127132,262.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,246,134.75,3623.431,3664.166667,-390.8,218.3,3.018,1978-08-01,1978.625,334.41,334.41,335.87,19.0,GISTEMP,1894.0,-0.31,2003.0,12.0,2003.958,1783.55,0.97,1779.33,0.5
246,127622,275.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,247,135.3,3641.569,3682.58,-394.4,217.7,3.053,1978-09-01,1978.708,332.37,332.37,335.51,17.0,GCAG,1893.0,-0.3212,2004.0,1.0,2004.042,1780.85,0.93,1779.26,0.5
247,127907,275.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,248,135.85,3659.503,3700.726667,-391.7,218.1,3.062,1978-10-01,1978.792,332.41,332.41,335.68,23.0,GISTEMP,1893.0,-0.3,2004.0,2.0,2004.125,1779.98,0.89,1779.08,0.5
248,128344,274.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,249,136.4,3677.719,3718.873333,-389.2,218.5,3.061,1978-11-01,1978.875,333.75,333.75,335.99,24.0,GCAG,1892.0,-0.3062,2004.0,3.0,2004.208,1780.96,0.8,1778.81,0.5
249,128372,287.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,250,136.95,3695.606,3737.02,-401.6,216.5,3.009,1978-12-01,1978.958,334.9,334.9,335.88,27.0,GISTEMP,1892.0,-0.27,2004.0,4.0,2004.292,1780.71,0.87,1778.43,0.5
250,128609,286.8,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,251,137.5,3713.807,3754.993333,-387.2,218.9,3.009,1979-01-01,1979.042,336.14,336.14,336.22,27.0,GCAG,1891.0,-0.2532,2004.0,5.0,2004.375,1777.58,1.04,1777.98,0.5
251,128866,282.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,252,138.05,3732.356,3772.966667,-387.8,218.8,2.966,1979-02-01,1979.125,336.69,336.69,336.01,26.0,GISTEMP,1891.0,-0.24,2004.0,6.0,2004.458,1772.29,1.11,1777.47,0.51
252,129146,264.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,253,138.6,3750.828,3790.94,-404.9,215.9,2.867,1979-03-01,1979.208,338.27,338.27,336.54,21.0,GCAG,1890.0,-0.322,2004.0,7.0,2004.542,1768.04,0.83,1776.94,0.52
253,129340,263.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,254,139.15,3770.297,3810.026667,-388.9,218.6,2.867,1979-04-01,1979.292,338.95,338.95,336.24,21.0,GISTEMP,1890.0,-0.37,2004.0,8.0,2004.625,1769.8,0.92,1776.39,0.53
254,129652,257.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,255,139.7,3789.41,3829.113333,-394.9,217.6,2.853,1979-05-01,1979.375,339.21,339.21,336.21,12.0,GCAG,1889.0,-0.0982,2004.0,9.0,2004.708,1775.49,1.02,1775.87,0.54
255,129736,259.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,256,140.25,3808.621,3848.2,-393.8,217.8,2.847,1979-06-01,1979.458,339.26,339.26,336.84,19.0,GISTEMP,1889.0,-0.12,2004.0,10.0,2004.792,1779.69,0.83,1775.39,0.55
256,131329,245.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,257,140.8,3828.24,3867.58,-399.6,216.8,2.846,1979-07-01,1979.542,337.54,337.54,336.72,26.0,GCAG,1888.0,-0.1471,2004.0,11.0,2004.875,1780.49,0.99,1774.97,0.56
257,131455,240.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,258,141.35,3847.506,3886.96,-400.9,216.6,2.843,1979-08-01,1979.625,335.75,335.75,337.24,23.0,GISTEMP,1888.0,-0.2,2004.0,12.0,2004.958,1778.36,0.94,1774.62,0.56
258,131728,228.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,259,141.9,3867.16,3906.34,-391.0,218.2,2.843,1979-09-01,1979.708,333.98,333.98,337.2,19.0,GCAG,1887.0,-0.2489,2005.0,1.0,2005.042,1776.33,1.12,1774.35,0.57
259,132492,223.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,260,142.45,3886.813,3925.696667,-396.1,217.4,2.816,1979-10-01,1979.792,334.19,334.19,337.53,24.0,GISTEMP,1887.0,-0.33,2005.0,2.0,2005.125,1775.83,0.94,1774.18,0.58
260,133069,223.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,261,143.0,3906.291,3945.053333,-398.5,217.0,2.795,1979-11-01,1979.875,335.31,335.31,337.57,27.0,GCAG,1886.0,-0.2003,2005.0,3.0,2005.208,1775.45,1.01,1774.08,0.59
261,133105,220.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,262,143.55,3926.29,3964.41,-396.5,217.3,2.797,1979-12-01,1979.958,336.81,336.81,337.79,22.0,GISTEMP,1886.0,-0.31,2005.0,4.0,2005.292,1774.58,0.9,1774.06,0.61
262,133427,210.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,263,144.1,3946.279,3983.956667,-397.8,217.1,2.848,1980-01-01,1980.042,337.9,337.9,338.09,29.0,GCAG,1885.0,-0.2125,2005.0,5.0,2005.375,1772.25,0.76,1774.1,0.62
263,134123,208.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,264,144.65,3965.551,4003.503333,-392.9,217.9,2.848,1980-02-01,1980.125,338.34,338.34,337.82,26.0,GISTEMP,1885.0,-0.32,2005.0,6.0,2005.458,1768.53,1.04,1774.18,0.64
264,134287,203.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,265,145.2,3985.184,4023.05,-398.7,216.9,2.864,1980-03-01,1980.208,340.01,340.01,338.43,25.0,GCAG,1884.0,-0.2009,2005.0,7.0,2005.542,1766.25,0.9,1774.3,0.65
265,134960,204.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,266,145.75,4004.712,4041.94,-398.9,216.9,2.881,1980-04-01,1980.292,340.93,340.93,338.3,24.0,GISTEMP,1884.0,-0.28,2005.0,8.0,2005.625,1768.04,1.06,1774.43,0.66
266,135114,200.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,267,146.3,4023.769,4060.83,-390.6,218.3,2.881,1980-05-01,1980.375,341.48,341.48,338.43,25.0,GCAG,1883.0,-0.1424,2005.0,9.0,2005.708,1773.07,1.22,1774.55,0.67
267,135207,198.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,268,146.85,4043.189,4079.72,-390.4,218.3,2.902,1980-06-01,1980.458,341.33,341.33,338.84,22.0,GISTEMP,1883.0,-0.21,2005.0,10.0,2005.792,1778.48,1.27,1774.65,0.66
268,135603,198.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,269,147.4,4062.473,4098.75,-402.3,216.4,2.904,1980-07-01,1980.542,339.4,339.4,338.54,21.0,GCAG,1882.0,-0.0648,2005.0,11.0,2005.875,1781.25,0.94,1774.73,0.65
269,135883,201.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,270,147.95,4081.742,4117.78,-389.9,218.4,2.909,1980-08-01,1980.625,337.7,337.7,339.12,17.0,GISTEMP,1882.0,-0.1,2005.0,12.0,2005.958,1780.26,1.32,1774.77,0.64
270,136011,200.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,271,148.5,4100.982,4136.81,-390.3,218.3,2.923,1980-09-01,1980.708,336.19,336.19,339.33,17.0,GCAG,1881.0,-0.0628,2006.0,1.0,2006.042,1779.51,0.98,1774.78,0.62
271,136251,202.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,272,149.05,4119.779,4156.106667,-398.8,216.9,2.923,1980-10-01,1980.792,336.15,336.15,339.42,25.0,GISTEMP,1881.0,-0.12,2006.0,2.0,2006.125,1779.48,1.01,1774.76,0.6
272,136567,195.8,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,273,149.6,4138.935,4175.403333,-397.8,217.1,2.913,1980-11-01,1980.875,337.27,337.27,339.42,24.0,GCAG,1880.0,-0.1148,2006.0,3.0,2006.208,1777.39,0.8,1774.74,0.58
273,136655,201.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,274,150.15,4158.16,4194.7,-394.9,217.6,2.909,1980-12-01,1980.958,338.32,338.32,339.26,19.0,GISTEMP,1880.0,-0.2,2006.0,4.0,2006.292,1776.11,0.62,1774.71,0.57
274,137293,194.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,275,150.7,4177.41,4213.876667,-392.2,218.0,2.905,1981-01-01,1981.042,339.29,339.29,339.38,28.0,,,,2006.0,5.0,2006.375,1774.92,1.03,1774.7,0.55
275,137633,193.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,276,151.25,4196.69,4233.053333,-404.7,216.0,2.857,1981-02-01,1981.125,340.55,340.55,339.93,25.0,,,,2006.0,6.0,2006.458,1769.23,1.39,1774.72,0.55
276,137982,194.2,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,277,151.8,4216.299,4252.23,-391.2,218.2,2.857,1981-03-01,1981.208,341.61,341.61,340.06,25.0,,,,2006.0,7.0,2006.542,1764.17,1.25,1774.8,0.55
277,138185,190.2,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,278,152.35,4235.912,4270.926667,-387.3,218.8,2.966,1981-04-01,1981.292,342.53,342.53,339.94,24.0,,,,2006.0,8.0,2006.625,1767.25,1.26,1774.95,0.55
278,139275,192.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,279,152.9,4254.808,4289.623333,-396.4,217.3,3.072,1981-05-01,1981.375,343.03,343.03,339.98,30.0,,,,2006.0,9.0,2006.708,1774.57,1.24,1775.18,0.56
279,139617,196.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,280,153.45,4273.049,4308.32,-387.0,218.9,3.072,1981-06-01,1981.458,342.54,342.54,340.07,25.0,,,,2006.0,10.0,2006.792,1778.24,0.83,1775.5,0.56
280,140899,195.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,281,154.0,4291.295,4327.686667,-398.1,217.0,2.79,1981-07-01,1981.542,340.78,340.78,339.92,24.0,,,,2006.0,11.0,2006.875,1779.06,0.81,1775.91,0.57
281,140960,196.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,282,154.55,4311.389,4347.053333,-401.4,216.5,2.727,1981-08-01,1981.625,338.44,338.44,339.86,26.0,,,,2006.0,12.0,2006.958,1779.91,0.85,1776.41,0.57
282,142058,190.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,283,155.1,4331.952,4366.42,-395.2,217.5,2.79,1981-09-01,1981.708,336.95,336.95,340.17,27.0,,,,2007.0,1.0,2007.042,1779.19,1.03,1777.0,0.58
283,145363,196.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,284,155.65,4352.055,4385.993333,-393.4,217.8,2.915,1981-10-01,1981.792,337.08,337.08,340.43,28.0,,,,2007.0,2.0,2007.125,1778.61,1.08,1777.62,0.58
284,148831,203.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,285,156.2,4371.293,4405.566667,-394.9,217.6,2.915,1981-11-01,1981.875,338.58,338.58,340.74,25.0,,,,2007.0,3.0,2007.208,1780.24,0.9,1778.29,0.59
285,149803,191.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,286,156.75,4390.536,4425.14,-397.1,217.2,2.815,1981-12-01,1981.958,339.88,339.88,340.79,19.0,,,,2007.0,4.0,2007.292,1781.11,0.96,1779.02,0.6
286,149921,188.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,287,157.3,4410.467,4444.616667,-400.6,216.6,2.787,1982-01-01,1982.042,340.96,340.96,341.1,27.0,,,,2007.0,5.0,2007.375,1779.49,1.27,1779.75,0.61
287,151423,200.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,288,157.85,4430.602,4464.093333,-393.0,217.9,2.852,1982-02-01,1982.125,341.73,341.73,341.1,23.0,,,,2007.0,6.0,2007.458,1775.61,1.11,1780.49,0.62
288,154480,189.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,289,158.4,4450.283,4483.57,-387.1,218.9,3.033,1982-03-01,1982.208,342.81,342.81,341.21,18.0,,,,2007.0,7.0,2007.542,1772.59,1.11,1781.21,0.64
289,155395,185.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,290,158.95,4468.793,4502.196667,-397.5,217.1,3.033,1982-04-01,1982.292,343.97,343.97,341.37,8.0,,,,2007.0,8.0,2007.625,1777.21,1.42,1781.9,0.65
290,155813,187.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,291,159.5,4487.643,4520.823333,-390.4,218.3,2.902,1982-05-01,1982.375,344.63,344.63,341.56,26.0,,,,2007.0,9.0,2007.708,1785.86,1.43,1782.55,0.66
291,159562,204.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,292,160.05,4506.99,4539.45,-399.3,216.8,2.823,1982-06-01,1982.458,343.79,343.79,341.35,26.0,,,,2007.0,10.0,2007.792,1789.85,1.06,1783.17,0.68
292,159943,196.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,293,160.6,4526.883,4559.533333,-397.5,217.1,2.821,1982-07-01,1982.542,342.32,342.32,341.55,28.0,,,,2007.0,11.0,2007.875,1789.55,1.02,1783.74,0.69
293,161679,191.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,294,161.15,4546.795,4579.616667,-399.9,216.7,2.805,1982-08-01,1982.625,340.09,340.09,341.51,24.0,,,,2007.0,12.0,2007.958,1788.17,1.27,1784.28,0.71
294,162228,190.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,295,161.7,4566.824,4599.7,-395.0,217.6,2.805,1982-09-01,1982.708,338.28,338.28,341.47,21.0,,,,2008.0,1.0,2008.042,1786.66,1.39,1784.81,0.72
295,163024,186.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,296,162.25,4586.851,4619.333333,-394.1,217.7,2.846,1982-10-01,1982.792,338.29,338.29,341.65,26.0,,,,2008.0,2.0,2008.125,1785.82,1.22,1785.3,0.73
296,163698,183.8,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,297,162.8,4606.959,4638.966667,-393.4,217.8,2.874,1982-11-01,1982.875,339.6,339.6,341.73,25.0,,,,2008.0,3.0,2008.208,1786.16,1.24,1785.78,0.74
297,164439,196.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,298,163.35,4626.514,4658.6,-398.4,217.0,2.872,1982-12-01,1982.958,340.9,340.9,341.79,26.0,,,,2008.0,4.0,2008.292,1786.88,1.01,1786.29,0.74
298,167183,197.8,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,299,163.9,4646.086,4678.18,-395.1,217.5,2.849,1983-01-01,1983.042,341.68,341.68,341.84,28.0,,,,2008.0,5.0,2008.375,1785.21,0.96,1786.8,0.74
299,169492,197.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,300,164.45,4665.821,4697.76,-396.0,217.4,2.849,1983-02-01,1983.125,342.9,342.9,342.32,24.0,,,,2008.0,6.0,2008.458,1780.46,0.88,1787.33,0.73
300,171351,196.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,301,165.0,4685.918,4717.34,-397.3,217.2,2.871,1983-03-01,1983.208,343.33,343.33,341.82,26.0,,,,2008.0,7.0,2008.542,1777.64,0.91,1787.88,0.72
301,172434,190.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,302,165.55,4705.503,4737.08,-389.3,218.5,2.889,1983-04-01,1983.292,345.25,345.25,342.66,24.0,,,,2008.0,8.0,2008.625,1781.07,1.06,1788.46,0.7
302,173135,189.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,303,166.1,4724.971,4756.82,-399.6,216.8,2.889,1983-05-01,1983.375,346.03,346.03,342.87,28.0,,,,2008.0,9.0,2008.708,1787.65,1.06,1789.04,0.68
303,173394,190.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,304,166.65,4744.443,4776.56,-402.3,216.3,2.707,1983-06-01,1983.458,345.63,345.63,343.15,20.0,,,,2008.0,10.0,2008.792,1793.67,0.9,1789.62,0.66
304,175306,207.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,305,167.2,4765.613,4796.936667,-396.7,217.3,2.706,1983-07-01,1983.542,344.19,344.19,343.44,20.0,,,,2008.0,11.0,2008.875,1797.33,1.49,1790.2,0.64
305,177139,213.2,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,306,167.75,4786.405,4817.313333,-397.2,217.2,2.706,1983-08-01,1983.625,342.27,342.27,343.66,16.0,,,,2008.0,12.0,2008.958,1796.58,1.47,1790.77,0.62
306,178179,217.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,307,168.3,4807.201,4837.69,-402.0,216.4,2.706,1983-09-01,1983.708,340.35,340.35,343.49,15.0,,,,2009.0,1.0,2009.042,1795.05,1.04,1791.33,0.61
307,179117,198.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,308,168.85,4828.386,4857.883333,-396.9,217.2,2.758,1983-10-01,1983.792,340.38,340.38,343.72,20.0,,,,2009.0,2.0,2009.125,1795.61,1.2,1791.84,0.6
308,180068,199.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,309,169.4,4848.799,4878.076667,-390.9,218.2,2.98,1983-11-01,1983.875,341.59,341.59,343.71,26.0,,,,2009.0,3.0,2009.208,1795.97,1.13,1792.31,0.61
309,182046,203.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,310,169.95,4867.695,4898.27,-393.4,217.8,2.98,1983-12-01,1983.958,343.05,343.05,343.96,19.0,,,,2009.0,4.0,2009.292,1795.54,0.83,1792.77,0.62
310,184685,210.7,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,311,170.5,4886.938,4917.313333,-395.9,217.4,2.946,1984-01-01,1984.042,344.1,344.1,344.2,23.0,,,,2009.0,5.0,2009.375,1792.36,0.74,1793.19,0.64
311,186697,231.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,312,171.05,4906.053,4936.356667,-395.1,217.5,2.922,1984-02-01,1984.125,344.79,344.79,344.22,23.0,,,,2009.0,6.0,2009.458,1786.9,0.79,1793.57,0.66
312,188436,231.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,313,171.6,4925.329,4955.4,-392.7,217.9,2.922,1984-03-01,1984.208,345.52,345.52,344.09,19.0,,,,2009.0,7.0,2009.542,1784.96,1.05,1793.93,0.68
313,189076,220.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,314,172.15,4944.966,4974.896667,-389.0,218.5,2.909,1984-04-01,1984.292,-99.99,346.84,344.27,2.0,,,,2009.0,8.0,2009.625,1788.84,0.97,1794.27,0.69
314,190352,218.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,315,172.7,4964.337,4994.393333,-397.9,217.1,2.909,1984-05-01,1984.375,347.63,347.63,344.45,21.0,,,,2009.0,9.0,2009.708,1794.79,1.23,1794.6,0.7
315,192910,226.5,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,316,173.25,4983.706,5013.89,-398.9,216.9,2.856,1984-06-01,1984.458,346.97,346.97,344.51,21.0,,,,2009.0,10.0,2009.792,1798.03,1.28,1794.91,0.71
316,193481,220.0,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,317,173.8,5003.803,5033.816667,-396.8,217.2,2.795,1984-07-01,1984.542,345.53,345.53,344.76,21.0,,,,2009.0,11.0,2009.875,1797.92,0.76,1795.24,0.71
317,195017,226.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,318,174.35,5023.971,5053.743333,-396.6,217.3,2.795,1984-08-01,1984.625,343.55,343.55,344.94,12.0,,,,2009.0,12.0,2009.958,1796.67,1.05,1795.57,0.71
318,195673,241.2,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,319,174.9,5044.142,5073.67,-392.7,217.9,2.816,1984-09-01,1984.708,341.4,341.4,344.58,14.0,,,,2010.0,1.0,2010.042,1797.1,1.34,1795.92,0.7
319,196179,242.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,320,175.45,5064.538,5093.896667,-400.6,216.6,2.816,1984-10-01,1984.792,341.67,341.67,345.01,12.0,,,,2010.0,2.0,2010.125,1798.79,1.2,1796.28,0.69
320,198972,250.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,321,176.0,5084.561,5114.123333,-396.3,217.3,2.858,1984-11-01,1984.875,343.1,343.1,345.2,18.0,,,,2010.0,3.0,2010.208,1799.46,1.09,1796.66,0.68
321,199918,239.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,322,176.55,5104.659,5134.35,-395.6,217.4,2.901,1984-12-01,1984.958,344.7,344.7,345.57,12.0,,,,2010.0,4.0,2010.292,1799.58,0.98,1797.07,0.68
322,201163,247.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,323,177.1,5124.103,5153.643333,-393.3,217.8,2.901,1985-01-01,1985.042,345.21,345.21,345.31,23.0,,,,2010.0,5.0,2010.375,1797.64,1.24,1797.5,0.68
323,202413,244.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,324,177.65,5143.911,5172.936667,-391.4,218.1,3.034,1985-02-01,1985.125,346.16,346.16,345.61,17.0,,,,2010.0,6.0,2010.458,1792.46,1.3,1797.95,0.68
324,202874,231.9,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,325,178.2,5162.511,5192.23,-391.3,218.2,3.041,1985-03-01,1985.208,347.74,347.74,346.37,16.0,,,,2010.0,7.0,2010.542,1789.43,0.98,1798.41,0.68
325,203317,232.2,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,326,178.75,5181.065,5211.516667,-393.2,217.8,2.969,1985-04-01,1985.292,348.34,348.34,345.79,19.0,,,,2010.0,8.0,2010.625,1794.11,1.18,1798.88,0.68
326,203837,228.6,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,327,179.3,5200.425,5230.803333,-397.6,217.1,2.808,1985-05-01,1985.375,349.06,349.06,345.91,24.0,,,,2010.0,9.0,2010.708,1801.86,1.25,1799.35,0.69
327,204480,226.3,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,328,179.85,5220.527,5250.09,-395.8,217.4,2.808,1985-06-01,1985.458,348.38,348.38,345.94,23.0,,,,2010.0,10.0,2010.792,1806.59,1.08,1799.81,0.68
328,204908,229.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,329,180.4,5241.007,5270.213333,-403.1,216.2,2.795,1985-07-01,1985.542,346.71,346.71,345.89,18.0,,,,2010.0,11.0,2010.875,1807.07,1.03,1800.27,0.68
329,205362,231.4,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,330,180.95,5261.212,5290.336667,-396.3,217.3,2.792,1985-08-01,1985.625,345.02,345.02,346.34,18.0,,,,2010.0,12.0,2010.958,1803.58,1.15,1800.73,0.68
330,205952,238.1,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble,331,181.5,5281.809,5310.46,-390.6,218.3,2.898082,1985-09-01,1985.708,343.27,343.27,346.4,25.0,,,,2011.0,1.0,2011.042,1800.44,1.19,1801.17,0.67
